Symbol       , Company Name             , Sector            , Current Price, RSI(14), Volume[-1], Volume[-2], Volume[-3], 20D Avg Vol, Days Since 52W High, Sector Rank, Trendline Touches, Dist from Trendline (%), Rank Score
INFY.NS      , Infosys                  , IT                ,       1092.9 ,   54.12, 20994760.0,  9747266.0,  9003333.0,  14822406.0,                 111,           2,                 2,                    3.18,      81.65
HDFCBANK.NS  , HDFC Bank                , Financial Services,        809.4 ,   62.35, 21741736.0, 23595785.0, 39891798.0,  34689700.0,                 181,           1,                 3,                    0.59,      73.28
ICICIBANK.NS , ICICI Bank               , Financial Services,       1407.7 ,   63.97, 10091437.0,  6409645.0, 13948838.0,  11760272.0,                 241,           1,                 3,                    1.44,      69.63
TCS.NS       , Tata Consultancy Services, IT                ,       2200.6 ,   55.14, 12382622.0,  6714551.0,  3791498.0,   5114616.0,                 111,           2,                 1,                    3.6 ,      54.23
SBIN.NS      , State Bank of India      , Financial Services,       1015.4 ,   55.16,  8381510.0,  8792150.0,  7661699.0,  10028482.0,                  96,           1,                 1,                    4.81,      38.61
RELIANCE.NS  , Reliance Industries      , Energy            ,       1293.0 ,   46.65,  9488352.0,  8412537.0, 14651963.0,  12876476.0,                 131,           3,                 2,                    1.62,      32.0
HINDUNILVR.NS, Hindustan Unilever       , Consumer Goods    ,       2120.2 ,   44.07,  1833988.0,  1665179.0,  2201039.0,   1595630.0,                 214,           4,                 3,                    4.88,      29.11
ITC.NS       , ITC                      , Consumer Goods    ,        275.55,   34.85, 12559492.0, 11774274.0, 12512120.0,  12116198.0,                 214,           4,                 1,                    4.61,      27.8
BHARTIARTL.NS, Bharti Airtel            , Telecommunication ,       1936.5 ,   54.71,  7862506.0,  6420887.0, 11145066.0,   6660055.0,                 161,           5,                 2,                    3.77,      26.79
LT.NS        , Larsen & Toubro          , Construction      ,       3848.7 ,   39.24,  1744547.0,  1283990.0,  5117653.0,   1922310.0,                  96,           6,                 2,                    0.83,      23.39
