Symbol,Passed,ClosenessScore,FailedRules
ATHERENERG.NS,False,0.0,Evaluation error
GRANULES.NS,False,0.0,Evaluation error
MGL.NS,False,0.0,Evaluation error
AEGISVOPAK.NS,False,0.0,Evaluation error
CHENNPETRO.NS,False,0.0,Evaluation error
ATGL.NS,False,0.0,Evaluation error
AEGISLOG.NS,False,0.0,Evaluation error
JSWSTEEL.NS,False,0.0,Evaluation error
SAIL.NS,False,0.0,Evaluation error
GRAVITA.NS,False,0.0,Evaluation error
LLOYDSME.NS,False,0.0,Evaluation error
ADANIENT.NS,False,0.0,Evaluation error
SUNTV.NS,False,0.0,Evaluation error
PVRINOX.NS,False,0.0,Evaluation error
ZEEL.NS,False,0.0,Evaluation error
SAREGAMA.NS,False,0.0,Evaluation error
TECHM.NS,False,0.0,Evaluation error
IKS.NS,False,0.0,Evaluation error
TATATECH.NS,False,0.0,Evaluation error
NETWEB.NS,False,0.0,Evaluation error
OFSS.NS,False,0.0,Evaluation error
GLAND.NS,False,0.0,Evaluation error
LAURUSLABS.NS,False,0.0,Evaluation error
ADANIENSOL.NS,False,0.0,Evaluation error
ACMESOLAR.NS,False,0.0,Evaluation error
ADANIGREEN.NS,False,0.0,Evaluation error
DELHIVERY.NS,False,0.0,Evaluation error
PAGEIND.NS,False,0.0,Evaluation error
KPRMILL.NS,False,0.0,Evaluation error
WELSPUNLIV.NS,False,0.0,Evaluation error
VTL.NS,False,0.0,Evaluation error
BHARTIHEXA.NS,False,0.0,Evaluation error
TATACOMM.NS,False,0.0,Evaluation error
IDEA.NS,False,0.0,Evaluation error
TEJASNET.NS,False,0.0,Evaluation error
HFCL.NS,False,0.0,Evaluation error
ADANIPORTS.NS,False,0.0,Evaluation error
ADANIPOWER.NS,False,0.0,Evaluation error
GESHIP.NS,False,0.0,Evaluation error
JSWINFRA.NS,False,0.0,Evaluation error
SCI.NS,False,0.0,Evaluation error
LODHA.NS,False,0.0,Evaluation error
GODREJPROP.NS,False,0.0,Evaluation error
PRESTIGE.NS,False,0.0,Evaluation error
PHOENIXLTD.NS,False,0.0,Evaluation error
OBEROIRLTY.NS,False,0.0,Evaluation error
NLCINDIA.NS,False,0.0,Evaluation error
CAPLIPOINT.NS,False,0.0,Evaluation error
ACUTAAS.NS,False,0.0,Evaluation error
BHARATFORG.NS,False,0.0,Evaluation error
NAM-INDIA.NS,False,0.0,Evaluation error
NUVOCO.NS,False,0.0,Evaluation error
GRASIM.NS,False,0.0,Evaluation error
JSWCEMENT.NS,False,0.0,Evaluation error
LT.NS,False,0.0,Evaluation error
TECHNOE.NS,False,0.0,Evaluation error
KPIL.NS,False,0.0,Evaluation error
ENGINERSIN.NS,False,0.0,Evaluation error
CEMPRO.NS,False,0.0,Evaluation error
DEEPAKFERT.NS,False,0.0,Evaluation error
AARTIIND.NS,False,0.0,Evaluation error
SPLPETRO.NS,False,0.0,Evaluation error
SOLARINDS.NS,False,0.0,Evaluation error
HSCL.NS,False,0.0,Evaluation error
SYRMA.NS,False,0.0,Evaluation error
KIRLOSENG.NS,False,0.0,Evaluation error
SCHNEIDER.NS,False,0.0,Evaluation error
WELCORP.NS,False,0.0,Evaluation error
CPPLUS.NS,False,0.0,Evaluation error
GABRIEL.NS,False,0.0,Evaluation error
BELRISE.NS,False,0.0,Evaluation error
SONACOMS.NS,False,0.0,Evaluation error
SHREECEM.NS,False,0.0,Evaluation error
JKCEMENT.NS,False,0.0,Evaluation error
AMBER.NS,False,0.0,Evaluation error
DCMSHRIRAM.NS,False,0.0,Evaluation error
ABSLAMC.NS,False,0.0,Evaluation error
CGCL.NS,False,0.0,Evaluation error
BANDHANBNK.NS,False,0.0,Evaluation error
J&KBANK.NS,False,0.0,Evaluation error
ZYDUSWELL.NS,False,0.0,Evaluation error
ABDL.NS,False,0.0,Evaluation error
RADICO.NS,False,0.0,Evaluation error
BALRAMCHIN.NS,False,0.0,Evaluation error
HONASA.NS,False,0.0,Evaluation error
3MINDIA.NS,False,0.0,Evaluation error
KAJARIACER.NS,False,0.0,Evaluation error
GODREJIND.NS,False,0.0,Evaluation error
TRENT.NS,False,0.0,Evaluation error
MEESHO.NS,False,0.0,Evaluation error
TRAVELFOOD.NS,False,0.0,Evaluation error
LENSKART.NS,False,0.0,Evaluation error
NYKAA.NS,False,0.0,Evaluation error
LGEINDIA.NS,False,0.0,Evaluation error
KALYANKJIL.NS,False,0.0,Evaluation error
DIXON.NS,False,0.0,Evaluation error
TRIDENT.NS,False,0.0,Evaluation error
